Species,Genus,Family,Population,Longitude,Latitude,Average Female adult weight (g),SD Female adult weight (g),Sample Size Female adult weight,Mean F SVL adults (mm),SD F SVL adults (mm),Sample size Mean F SVL adults,F SVL at maturity (mm),Offspring SVL (mm),Mean Clutch Size,Sample size Clutch Size.,Mode of reproduction,Clutches per year,Clutch Frequency,RCM,Foraging Mode,Distribution,Prefered Habitat Type,Source
Menetia greyii,Menetia,Scincidae,Salter Springs,138.63,-34.18,NA,NA,NA,34.6,NA,NA,28.5,17,2,NA,Oviparous,2,2,NA,Active,Temperate,Terrestrial,(Smyth and Smith 1974)
Menetia greyii,Menetia,Scincidae,Australia,123.09,-27.89,0.385,0.114,125,31.38,1.466,125,29,NA,1.54,41,Oviparous,NA,1,0.159,Active,Temperate,Terrestrial,(Pianka 2011b)
Oligosoma cherrieri,Oligosoma,Scincidae,Costa Rica,-83.75,9.75,NA,NA,NA,53.8,NA,NA,NA,NA,2,NA,Oviparous,NA,2,NA,Active,Tropical,Terrestrial,(Greene 1969)
Oligosoma zelandicum,Oligosoma,Scincidae,"Victoria university, New Zealand",174.77,-41.29,NA,NA,NA,NA,NA,NA,54,NA,5.1,NA,Viviparous,1,1,NA,Active,Temperate,Terrestrial,(Barwick 1959)
Panaspis nimbaensis,Panaspis,Scincidae,"Lamto, Ivory Coast",-5.02,6.22,NA,NA,NA,NA,NA,NA,45,NA,2.5,NA,Oviparous,5,2,NA,Active,Tropical,Terrestrial,(Barbault 1976)
Plestiodon copei,Plestiodon,Scincidae,"Parque nacional de zoquiapan, Mexico",-98.7,19.69,NA,NA,NA,67.8,NA,NA,NA,NA,3.53,NA,Viviparous,1,1,NA,Sit and wait,Temperate,Terrestrial,(Guillette 1983)
Plestiodon egregius,Plestiodon,Scincidae,Levy county,-82.82,29.32,NA,NA,NA,NA,NA,NA,40,20.6,4.8,NA,Oviparous,1,1,NA,Active,Temperate,Fossorial,(Mount 1983)
Plestiodon fasciatus,Plestiodon,Scincidae,University of Kansas Natural History Reservation,-95.24,38.96,NA,NA,NA,72.5,NA,NA,65,NA,9.16,NA,Oviparous,1,1,NA,Active,Temperate,Terrestrial,(Vitt and Cooper 1986)
Plestiodon fasciatus,Plestiodon,Scincidae,"Aiken, South Carolina",-81.72,33.56,NA,NA,NA,63.3,NA,NA,52,24,5.9,NA,Oviparous,1,1,0.36,Active,Temperate,Terrestrial,(Fitch 1954)
Plestiodon laticeps,Plestiodon,Scincidae,"Aiken, South Carolina",-81.72,33.56,NA,NA,NA,103.8,NA,NA,85,31.4,13.7,NA,Oviparous,1,1,0.341,Active,Temperate,Terrestrial,(Vitt and Cooper 1985)
Plestiodon latiscutatus,Plestiodon,Scincidae,Miyake-jima,139.53,34.08,NA,NA,NA,78.9,NA,NA,72,NA,7.6,NA,Oviparous,1,1,NA,Active,Temperate,Terrestrial,(Hasegawa 1984)
Plestiodon obsoletus,Plestiodon,Scincidae,University of Kansas Natural History Reservation,-95.24,38.96,NA,NA,NA,NA,NA,NA,107,NA,11.4,NA,Oviparous,1,1,NA,Active,Temperate,Fossorial,(Fitch 1955)
Plestiodon septentrionalis,Plestiodon,Scincidae,Ninnesota,-94.69,46.73,NA,NA,NA,65,NA,NA,NA,25.5,8.79,NA,Oviparous,1,1,NA,Active,Temperate,Fossorial,(Breckenridge 1943)
Plestiodon skiltonianus,Plestiodon,Scincidae,San Bernardino,-117.29,34.11,NA,NA,NA,64,NA,NA,58,NA,4.4,NA,Oviparous,1,1,NA,Active,Temperate,Fossorial,(Tinkle et al. 1970)
Scincella cherriei,Scincella,Scincidae,Costa Rica,-83.75,9.75,NA,NA,NA,53.8,NA,NA,44,NA,2,NA,Oviparous,2,2,NA,Active,Tropical,Terrestrial,(Greene 1969)
Scincella cherriei,Scincella,Scincidae,"Nicaragua, 1991, Rio San Juan - tropical forest",-85.6625,11.04583,3.25,0.21,2,55.25,0.7,2,50,26,3,2,Oviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Scincella lateralis,Scincella,Scincidae,"University of Florida, Gainesville",-82.35,29.65,NA,NA,NA,41.5,NA,NA,35,19,2.5,NA,Oviparous,2,2,NA,Active,Temperate,Terrestrial,(Fitch and Greene 1965)
Scincella lateralis,Scincella,Scincidae,"University of Florida, Gainesville",-82.35,29.65,NA,NA,NA,41.5,NA,NA,NA,NA,2.5,NA,Oviparous,2,2,NA,Active,Temperate,Terrestrial,(Brooks 1967)
Scincella lateralis,Scincella,Scincidae,"Lafayette county, Arkansas",-93.62,33.25,NA,NA,NA,47,NA,NA,38,NA,3.8,NA,Oviparous,4,2,NA,Active,Temperate,Terrestrial,(Brooks 1967)
Sphenomorphus tanneri,Sphenomorphus,Scincidae,"Bougainville, Matsiogu",155.19,-6.05,NA,NA,NA,45.1,NA,NA,41,NA,2,NA,Oviparous,NA,NA,NA,Active,Tropical,Fossorial,(Greer and Parker 1967)
Trachylepis maculilabris,Trachylepis,Scincidae,"Lamto, Ivory Coast",-5.02,6.22,NA,NA,NA,NA,NA,NA,58,NA,5.5,NA,Oviparous,5.5,2,NA,Active,Tropical,Terrestrial,(Barbault 1976)
Trachylepis occidentalis,Trachylepis,Scincidae,"Africa, 1969-1970",21.25,-27.03,18.6,4.02,12,93.4,7.39,12,83,32,6.33,12,Oviparous,NA,1,0.1598,Active,Temperate,Terrestrial,(Pianka et al. 1979)
Trachylepis occidentalis,Trachylepis,Scincidae,"Africa-A, 1969-1970",20.7,-27.34,17.87,0.78,3,87.3,3.21,3,83,32,6,3,Oviparous,1,1,0.197,Active,Temperate,Terrestrial,(Pianka et al. 1979)
Trachylepis occidentalis,Trachylepis,Scincidae,"Africa-B, 1969-1970",20.45,-27,17.8,1.77,2,94,4.24,2,83,32,6.5,2,Oviparous,1,1,0.1632,Active,Temperate,Terrestrial,(Pianka et al. 1979)
Trachylepis occidentalis,Trachylepis,Scincidae,"Africa-G, 1969-1970",22.26,-28.21,16.1,1.52,2,94,1.41,2,83,32,5.5,2,Oviparous,1,1,0.1485,Active,Temperate,Terrestrial,(Pianka et al. 1979)
Trachylepis occidentalis,Trachylepis,Scincidae,"Africa-K, 1969-1970",20.6,-25.78,24.5,1.53,3,104,1.53,3,83,32,8.33,3,Oviparous,1,1,0.1343,Active,Temperate,Terrestrial,(Pianka et al. 1979)
Trachylepis occidentalis,Trachylepis,Scincidae,"Africa-L, 1969-1970",20.75,-26.35,12.15,NA,1,83,NA,1,83,32,5,1,Oviparous,1,1,0.1235,Active,Temperate,Terrestrial,(Pianka et al. 1979)
